id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,instrumentalness,lyrical_intensity,lyrical_theme,youtube_id
1,Happy,Pharrell Williams,pop,happy,0.82,160,0.96,0.85,0.10,0.00,0.50,celebration,y6Sxv-sUYtM
2,Aruarian Dance,Nujabes,lofi,chill,0.38,87,0.65,0.58,0.68,0.72,0.00,none,
3,Back in Black,AC/DC,rock,intense,0.90,198,0.45,0.70,0.05,0.05,0.65,struggle,
4,South of the River,Tom Misch ft. Loyle Carner,lofi,chill,0.35,88,0.70,0.60,0.55,0.45,0.20,reflection,
5,Titanium,David Guetta ft. Sia,pop,intense,0.88,126,0.60,0.75,0.08,0.05,0.70,motivation,
6,Weightless,Marconi Union,ambient,peaceful,0.15,60,0.68,0.18,0.95,0.99,0.00,none,UfcAVejslrU
7,Come Away With Me,Norah Jones,jazz,relaxed,0.38,84,0.72,0.45,0.85,0.05,0.60,love,
8,Midnight City,M83,synthwave,moody,0.72,106,0.48,0.68,0.15,0.35,0.30,nostalgia,dX3k_QDnzHE
9,Everything in Its Right Place,Radiohead,ambient,reflective,0.42,74,0.38,0.42,0.28,0.35,0.40,reflection,
10,Stolen Dance,Milky Chance,indie pop,happy,0.65,102,0.78,0.72,0.35,0.08,0.55,love,
11,Sapphire,Alcest,post-metal,emotional,0.60,100,0.30,0.35,0.25,0.60,0.40,abstract,
12,Doomsday,Architects,metalcore,intense,0.80,140,0.35,0.45,0.05,0.10,0.90,struggle,
13,The Silent Life,Rivers of Nihil,progressive metal,reflective,0.70,115,0.30,0.40,0.12,0.35,0.70,reflection,
14,Dream House,Deafheaven,blackgaze,emotional,0.90,160,0.25,0.30,0.08,0.45,0.50,abstract,
15,Nightcall,Kavinsky,synthwave,dark,0.50,104,0.40,0.65,0.05,0.30,0.40,darkness,
16,Turbo Killer,Carpenter Brut,synthwave,aggressive,0.80,130,0.25,0.60,0.03,0.90,0.00,none,
17,Running in the Night,FM-84,synthwave,nostalgic,0.70,120,0.65,0.70,0.05,0.20,0.50,nostalgia,
18,Space Song,Beach House,dream pop,chill,0.40,85,0.52,0.40,0.45,0.15,0.40,abstract,
19,Wait,M83,ambient,emotional,0.30,75,0.55,0.35,0.55,0.40,0.20,loss,
20,Holocene,Bon Iver,indie folk,reflective,0.30,78,0.38,0.38,0.72,0.08,0.80,reflection,
21,Theme of Laura,Akira Yamaoka,soundtrack,dark,0.20,60,0.20,0.15,0.80,0.95,0.00,none,
22,Time,Hans Zimmer,soundtrack,epic,0.60,52,0.45,0.20,0.70,0.98,0.00,none,
23,Blinding Lights,The Weeknd,pop,fun,0.90,171,0.68,0.89,0.05,0.05,0.50,love,
24,Take On Me,a-ha,pop,fun,0.80,169,0.82,0.80,0.08,0.05,0.50,love,
25,Take Five,Dave Brubeck Quartet,jazz,relaxed,0.45,174,0.65,0.72,0.95,0.95,0.00,none,
26,So What,Miles Davis,jazz,chill,0.38,136,0.55,0.58,0.92,0.98,0.00,none,
27,Autumn Leaves,Bill Evans Trio,jazz,melancholic,0.32,120,0.35,0.48,0.95,0.97,0.00,none,
28,Dog Days Are Over,Florence + The Machine,indie pop,hopeful,0.82,154,0.72,0.74,0.30,0.05,0.80,motivation,
29,Electric Feel,MGMT,indie pop,fun,0.72,107,0.77,0.81,0.22,0.12,0.40,love,
30,Myth,Beach House,dream pop,melancholic,0.38,130,0.30,0.35,0.55,0.25,0.50,loss,
31,Fade Into You,Mazzy Star,dream pop,sad,0.28,98,0.25,0.30,0.72,0.15,0.60,love,
32,Re: Stacks,Bon Iver,indie folk,sad,0.25,85,0.28,0.25,0.85,0.12,0.80,loss,
33,First Day of My Life,Bright Eyes,indie folk,hopeful,0.42,105,0.78,0.55,0.82,0.05,0.90,love,
34,No Ordinary Love,Sade,r&b,romantic,0.40,92,0.55,0.48,0.45,0.15,0.70,love,
35,Golden,Jill Scott,r&b,happy,0.62,104,0.82,0.70,0.35,0.08,0.60,motivation,
36,Redbone,Childish Gambino,r&b,melancholic,0.53,108,0.52,0.62,0.30,0.10,0.70,love,
37,Clair de Lune,Claude Debussy,classical,peaceful,0.18,66,0.62,0.20,0.98,1.00,0.00,none,
38,Gymnopedie No.1,Erik Satie,classical,peaceful,0.12,76,0.55,0.15,0.99,1.00,0.00,none,
39,Moonlight Sonata,Ludwig van Beethoven,classical,melancholic,0.25,54,0.22,0.18,0.99,1.00,0.00,none,
40,HUMBLE.,Kendrick Lamar,hip-hop,aggressive,0.88,150,0.42,0.72,0.05,0.05,0.95,struggle,
41,Alright,Kendrick Lamar,hip-hop,hopeful,0.72,119,0.55,0.75,0.08,0.08,0.90,motivation,
42,Mask Off,Future,hip-hop,dark,0.65,150,0.35,0.68,0.05,0.20,0.70,darkness,
43,Despacito,Luis Fonsi ft. Daddy Yankee,reggaeton,romantic,0.80,89,0.82,0.86,0.22,0.05,0.60,love,
44,Malamente,Rosalia,flamenco,melancholic,0.48,178,0.35,0.55,0.62,0.15,0.80,loss,
45,Someone Like You,Adele,pop,sad,0.30,67,0.22,0.35,0.68,0.03,0.95,loss,
46,Fix You,Coldplay,indie pop,hopeful,0.42,138,0.62,0.40,0.72,0.08,0.80,motivation,
47,Killing in the Name,Rage Against the Machine,rock,angry,0.92,176,0.28,0.60,0.05,0.05,0.95,struggle,
48,La Vie en Rose,Edith Piaf,jazz,romantic,0.35,78,0.78,0.45,0.82,0.10,0.85,love,
49,Northern Lights,Idealism,lofi,peaceful,0.28,70,0.70,0.45,0.88,0.80,0.00,none,
50,Bitter Sweet Symphony,The Verve,indie pop,melancholic,0.52,86,0.35,0.45,0.25,0.25,0.75,reflection,
51,Comptine d un autre ete,Yann Tiersen,soundtrack,hopeful,0.32,76,0.68,0.38,0.95,0.98,0.00,none,
52,Breathe (2 AM),Anna Nalick,indie folk,sad,0.35,82,0.32,0.42,0.78,0.05,0.88,struggle,
53,Lovely,Billie Eilish ft. Khalid,pop,sad,0.35,95,0.22,0.30,0.62,0.05,0.85,loss,
54,Believer,Imagine Dragons,rock,hopeful,0.75,125,0.55,0.72,0.08,0.05,0.80,struggle,
55,Shape of You,Ed Sheeran,pop,romantic,0.65,96,0.72,0.82,0.22,0.05,0.65,love,
56,Passionfruit,Drake,r&b,romantic,0.55,108,0.62,0.65,0.35,0.15,0.65,love,
57,River,Leon Bridges,r&b,peaceful,0.38,68,0.55,0.42,0.72,0.08,0.75,reflection,
58,Creep,Radiohead,rock,sad,0.52,92,0.22,0.45,0.22,0.05,0.90,loss,
59,Bohemian Rhapsody,Queen,rock,epic,0.62,144,0.45,0.42,0.22,0.05,0.85,abstract,
60,Nuvole Bianche,Ludovico Einaudi,classical,peaceful,0.22,60,0.72,0.22,0.98,1.00,0.00,none,
61,Con Calma,Daddy Yankee & Snow,reggaeton,fun,0.87,96,0.85,0.88,0.12,0.05,0.55,celebration,
62,Gasolina,Daddy Yankee,reggaeton,fun,0.91,100,0.82,0.90,0.08,0.05,0.50,celebration,
63,Mi Gente,J Balvin & Willy William,reggaeton,fun,0.89,100,0.80,0.89,0.10,0.05,0.40,celebration,
64,Tusa,Karol G & Nicki Minaj,reggaeton,sad,0.78,96,0.52,0.82,0.15,0.05,0.65,loss,
65,Hawái,Maluma,reggaeton,romantic,0.72,92,0.78,0.80,0.18,0.05,0.60,love,
66,Sicko Mode,Travis Scott,hip-hop,intense,0.85,155,0.42,0.75,0.05,0.05,0.80,darkness,
67,God's Plan,Drake,hip-hop,hopeful,0.70,77,0.55,0.72,0.08,0.05,0.75,motivation,
68,Lose Yourself,Eminem,hip-hop,intense,0.90,171,0.38,0.70,0.05,0.05,0.95,struggle,
69,Power,Kanye West,hip-hop,epic,0.82,90,0.40,0.68,0.08,0.15,0.85,struggle,
70,DNA.,Kendrick Lamar,hip-hop,aggressive,0.88,155,0.35,0.72,0.05,0.05,0.92,struggle,
71,Love Yourz,J. Cole,hip-hop,reflective,0.45,87,0.62,0.52,0.35,0.10,0.80,reflection,
72,Sunflower,Post Malone & Swae Lee,hip-hop,happy,0.70,90,0.78,0.78,0.12,0.05,0.65,love,
73,Swimming Pools,Kendrick Lamar,hip-hop,dark,0.65,86,0.32,0.68,0.08,0.10,0.80,darkness,
74,Can You Feel My Heart,Bring Me The Horizon,metalcore,emotional,0.82,160,0.28,0.48,0.05,0.15,0.85,struggle,
75,Throne,Bring Me The Horizon,metalcore,intense,0.88,148,0.42,0.55,0.05,0.10,0.85,motivation,
76,Holy Roller,Spiritbox,metalcore,angry,0.93,175,0.25,0.52,0.03,0.08,0.90,struggle,
77,Meddler,August Burns Red,metalcore,aggressive,0.90,180,0.22,0.48,0.05,0.12,0.80,struggle,
78,The Final Episode,Asking Alexandria,metalcore,intense,0.88,168,0.30,0.50,0.05,0.10,0.85,darkness,
79,Lateralus,Tool,progressive metal,epic,0.72,95,0.35,0.42,0.08,0.30,0.75,abstract,
80,Pull Me Under,Dream Theater,progressive metal,intense,0.82,120,0.32,0.45,0.10,0.25,0.80,struggle,
81,Ghost of Perdition,Opeth,progressive metal,dark,0.70,130,0.25,0.40,0.15,0.40,0.75,darkness,
82,Scarlet,Periphery,progressive metal,emotional,0.75,140,0.30,0.45,0.08,0.20,0.80,loss,
83,Bleed,Meshuggah,progressive metal,aggressive,0.95,210,0.18,0.50,0.05,0.55,0.70,abstract,
84,Lost,Neurosis,post-metal,dark,0.65,90,0.22,0.38,0.20,0.55,0.60,darkness,
85,In Fiction,ISIS,post-metal,reflective,0.60,85,0.28,0.35,0.25,0.65,0.50,abstract,
86,The Weapon,Cult of Luna,post-metal,dark,0.70,95,0.20,0.40,0.18,0.60,0.55,darkness,
87,Geneva,Russian Circles,post-metal,moody,0.65,100,0.25,0.42,0.22,0.80,0.00,none,
88,March to the Sea,Pelican,post-metal,epic,0.68,88,0.30,0.38,0.20,0.85,0.00,none,
89,Sunbather,Deafheaven,blackgaze,emotional,0.88,155,0.30,0.35,0.08,0.50,0.45,abstract,
90,Ecailles de Lune,Alcest,blackgaze,melancholic,0.65,110,0.35,0.38,0.15,0.55,0.40,abstract,
91,Empyrean,Unreqvited,blackgaze,peaceful,0.45,85,0.52,0.30,0.30,0.75,0.20,abstract,
92,Bliss,Lantlos,blackgaze,hopeful,0.60,100,0.48,0.35,0.22,0.60,0.35,abstract,
93,Second Son of R.,Oathbreaker,blackgaze,dark,0.82,140,0.22,0.40,0.12,0.45,0.50,darkness,
94,An Ending (Ascent),Brian Eno,ambient,peaceful,0.15,55,0.68,0.18,0.95,0.98,0.00,none,
95,Porcelain,Moby,ambient,melancholic,0.25,96,0.42,0.32,0.72,0.80,0.10,reflection,
96,Avril 14th,Aphex Twin,ambient,peaceful,0.18,70,0.65,0.20,0.98,0.99,0.00,none,
97,Kenotic,Hammock,ambient,reflective,0.30,75,0.52,0.28,0.85,0.92,0.00,none,
98,Entre Dos Aguas,Paco de Lucia,flamenco,intense,0.75,140,0.58,0.72,0.85,0.60,0.00,none,
99,La Leyenda del Tiempo,Camarón de la Isla,flamenco,melancholic,0.55,100,0.35,0.55,0.75,0.20,0.85,reflection,
100,Lagrimas Negras,Diego el Cigala & Bebo Valdés,flamenco,sad,0.40,85,0.28,0.45,0.80,0.25,0.80,loss,
101,Volver,Estrella Morente,flamenco,melancholic,0.45,90,0.32,0.50,0.82,0.15,0.85,loss,
102,Mi Nina Lola,Buika,flamenco,emotional,0.60,105,0.45,0.60,0.78,0.20,0.80,love,
103,Feather,Nujabes ft. Cise Starr,lofi,chill,0.38,87,0.68,0.65,0.62,0.40,0.30,reflection,
104,Affection,Jinsang,lofi,peaceful,0.28,72,0.72,0.48,0.88,0.85,0.00,none,
105,Snowfall,Oneheart & reidenshi,lofi,melancholic,0.25,68,0.38,0.42,0.90,0.88,0.00,none,
106,sunset lover,Petit Biscuit,lofi,relaxed,0.35,98,0.65,0.62,0.75,0.70,0.00,none,
107,Nothing's Gonna Hurt You Baby,Cigarettes After Sex,dream pop,romantic,0.30,82,0.62,0.35,0.78,0.20,0.55,love,
108,Into Dust,Mazzy Star,dream pop,sad,0.22,75,0.25,0.28,0.85,0.25,0.55,loss,
109,Cherry-Coloured Funk,Cocteau Twins,dream pop,chill,0.45,105,0.58,0.48,0.52,0.35,0.20,abstract,
110,Apocalypse,Cigarettes After Sex,dream pop,melancholic,0.28,78,0.38,0.32,0.72,0.18,0.60,loss,
111,Naked as We Came,Iron & Wine,indie folk,peaceful,0.22,80,0.62,0.28,0.92,0.08,0.70,love,
112,White Winter Hymnal,Fleet Foxes,indie folk,nostalgic,0.55,106,0.72,0.62,0.80,0.05,0.60,nostalgia,
113,The Gardener,The Tallest Man on Earth,indie folk,hopeful,0.45,112,0.70,0.52,0.88,0.08,0.80,motivation,
114,Death With Dignity,Sufjan Stevens,indie folk,sad,0.28,92,0.35,0.32,0.85,0.15,0.80,loss,
115,Miami Disco,Perturbator,synthwave,dark,0.82,128,0.30,0.75,0.05,0.85,0.00,none,
116,Tech Noir,Gunship,synthwave,nostalgic,0.65,115,0.48,0.68,0.08,0.45,0.40,nostalgia,
117,Redline,Lazerhawk,synthwave,intense,0.88,135,0.38,0.78,0.05,0.90,0.00,none,
118,When You Arrive,Gunship,synthwave,nostalgic,0.60,110,0.55,0.65,0.10,0.50,0.35,nostalgia,
119,Arabesque No. 1,Claude Debussy,classical,peaceful,0.20,72,0.68,0.22,0.99,1.00,0.00,none,
120,Cello Suite No. 1,Johann Sebastian Bach,classical,reflective,0.30,66,0.58,0.25,0.99,1.00,0.00,none,
121,Nocturne Op. 9 No. 2,Frédéric Chopin,classical,romantic,0.18,60,0.65,0.20,0.99,1.00,0.00,none,
122,Bolero,Maurice Ravel,classical,epic,0.65,66,0.55,0.45,0.95,0.92,0.00,none,
123,The Ecstasy of Gold,Ennio Morricone,soundtrack,epic,0.55,80,0.62,0.35,0.85,0.92,0.00,none,
124,Duel of the Fates,John Williams,soundtrack,intense,0.80,122,0.38,0.52,0.55,0.85,0.00,none,
125,Experience,Ludovico Einaudi,soundtrack,emotional,0.35,72,0.55,0.28,0.95,0.98,0.00,none,
126,Concerning Hobbits,Howard Shore,soundtrack,hopeful,0.38,96,0.75,0.42,0.92,0.95,0.00,none,
127,Thinking Bout You,Frank Ocean,r&b,sad,0.38,80,0.35,0.48,0.52,0.10,0.75,love,
128,Good Days,SZA,r&b,hopeful,0.52,113,0.62,0.62,0.38,0.08,0.65,motivation,
129,Best Part,Daniel Caesar ft. H.E.R.,r&b,romantic,0.38,91,0.72,0.45,0.62,0.08,0.70,love,
130,Sativa,Jhené Aiko ft. Swae Lee,r&b,chill,0.48,85,0.65,0.58,0.42,0.10,0.55,love,
131,Location,Khalid,r&b,hopeful,0.55,93,0.68,0.65,0.35,0.08,0.60,love,
132,Levitating,Dua Lipa,pop,fun,0.83,103,0.82,0.89,0.08,0.05,0.50,love,
133,Watermelon Sugar,Harry Styles,pop,happy,0.80,95,0.85,0.85,0.12,0.05,0.45,love,
134,drivers license,Olivia Rodrigo,pop,sad,0.35,72,0.28,0.35,0.68,0.05,0.85,loss,
135,Cruel Summer,Taylor Swift,pop,fun,0.88,170,0.75,0.88,0.08,0.05,0.65,love,
136,bad guy,Billie Eilish,pop,dark,0.72,135,0.45,0.78,0.05,0.05,0.65,darkness,
137,thank u next,Ariana Grande,pop,hopeful,0.75,108,0.72,0.82,0.10,0.05,0.65,motivation,
138,As It Was,Harry Styles,pop,melancholic,0.70,174,0.48,0.78,0.12,0.05,0.70,loss,
139,A-Punk,Vampire Weekend,indie pop,fun,0.78,180,0.82,0.80,0.18,0.05,0.50,celebration,
140,Kids,MGMT,indie pop,nostalgic,0.70,116,0.72,0.78,0.22,0.15,0.50,nostalgia,
141,1901,Phoenix,indie pop,fun,0.80,100,0.80,0.82,0.15,0.10,0.45,celebration,
142,Intro,The xx,indie pop,chill,0.35,112,0.42,0.45,0.45,0.55,0.15,love,
143,Ribs,Lorde,indie pop,moody,0.48,105,0.38,0.55,0.35,0.10,0.75,reflection,
144,Green Light,Lorde,indie pop,fun,0.80,130,0.72,0.82,0.15,0.05,0.65,motivation,
145,Come As You Are,Nirvana,rock,moody,0.62,120,0.35,0.58,0.15,0.05,0.75,reflection,
146,Black,Pearl Jam,rock,sad,0.40,106,0.22,0.38,0.25,0.05,0.85,loss,
147,Under the Bridge,Red Hot Chili Peppers,rock,melancholic,0.52,100,0.40,0.50,0.42,0.05,0.80,reflection,
148,Everlong,Foo Fighters,rock,intense,0.80,158,0.55,0.70,0.12,0.05,0.80,love,
149,Do I Wanna Know?,Arctic Monkeys,rock,moody,0.58,85,0.35,0.55,0.15,0.05,0.75,love,
150,Boulevard of Broken Dreams,Green Day,rock,sad,0.55,168,0.28,0.52,0.18,0.05,0.80,reflection,
151,A Love Supreme Pt. I,John Coltrane,jazz,epic,0.50,90,0.52,0.55,0.85,0.75,0.00,none,
152,Almost Blue,Chet Baker,jazz,melancholic,0.32,68,0.38,0.40,0.92,0.30,0.50,loss,
